::ffff:127.0.0.1 - - [03/Jun/2022:00:13:37 +0000] "GET /actuator/health HTTP/1.0" 404 154 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:127.0.0.1 - - [03/Jun/2022:00:30:18 +0000] "POST /FD873AC4-CF86-4FED-84EC-4BD59C6F17A7 HTTP/1.0" 404 176 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"
::1 - - [03/Jun/2022:00:30:40 +0000] "GET /upload/photo_6257a923b41c5c678b998880.jpg HTTP/1.0" 404 180 "https://www.icareer.mn/" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 237.0.0.9.103 (iPhone11,6; iOS 15_5; en_MN; en-MN; scale=3.00; 1242x2688; 372720523)"
::ffff:127.0.0.1 - - [03/Jun/2022:00:30:40 +0000] "GET /upload/photo_6257a99db41c5c678b99888a.jpg HTTP/1.0" 404 180 "https://www.icareer.mn/" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 237.0.0.9.103 (iPhone11,6; iOS 15_5; en_MN; en-MN; scale=3.00; 1242x2688; 372720523)"
::1 - - [03/Jun/2022:00:30:40 +0000] "GET /upload/photo_626a74fcc36872e4d55eb274.jpeg HTTP/1.0" 404 181 "https://www.icareer.mn/" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 237.0.0.9.103 (iPhone11,6; iOS 15_5; en_MN; en-MN; scale=3.00; 1242x2688; 372720523)"
::ffff:127.0.0.1 - - [03/Jun/2022:00:52:57 +0000] "GET /api/v1/users/62992dd29eaf6f8bd9cd063e HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [03/Jun/2022:00:52:57 +0000] "GET /api/v1/deegiis/6242b7d81aaad439817a4c6e HTTP/1.0" 200 15823 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [03/Jun/2022:00:54:06 +0000] "GET /api/v1/users/undefined HTTP/1.0" 500 250 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::1 - - [03/Jun/2022:00:54:06 +0000] "GET /api/v1/technos HTTP/1.0" 200 16321 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::ffff:127.0.0.1 - - [03/Jun/2022:00:54:06 +0000] "GET /api/v1/tops HTTP/1.0" 200 4811 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::ffff:127.0.0.1 - - [03/Jun/2022:00:54:06 +0000] "GET /api/v1/odkos HTTP/1.0" 200 10198 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::1 - - [03/Jun/2022:00:54:06 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::ffff:127.0.0.1 - - [03/Jun/2022:00:54:06 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 200 19072 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::1 - - [03/Jun/2022:00:54:06 +0000] "GET /api/v1/bolors HTTP/1.0" 200 19139 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
