::1 - - [11/Jun/2022:00:07:27 +0000] "GET /remote/fgt_lang?lang=/../../../..//////////dev/cmdb/sslvpn_websession HTTP/1.0" 404 154 "-" "libwww-perl/6.05"
::ffff:127.0.0.1 - - [11/Jun/2022:01:02:38 +0000] "GET /credentials/credentials HTTP/1.0" 404 162 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::1 - - [11/Jun/2022:01:52:09 +0000] "GET /owa/auth/logon.aspx?url=https%3a%2f%2f1%2fecp%2f HTTP/1.0" 404 158 "-" "Mozilla/5.0 zgrab/0.x"
::1 - - [11/Jun/2022:02:07:13 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.101 Safari/537.36 Edg/91.0.864.48"
::ffff:127.0.0.1 - - [11/Jun/2022:02:07:14 +0000] "GET //robots.txt HTTP/1.0" 404 150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.101 Safari/537.36 Edg/91.0.864.48"
::1 - - [11/Jun/2022:02:07:14 +0000] "GET //.well-known/security.txt HTTP/1.0" 404 164 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.101 Safari/537.36 Edg/91.0.864.48"
::ffff:127.0.0.1 - - [11/Jun/2022:02:07:14 +0000] "GET //sitemap.xml HTTP/1.0" 404 151 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.101 Safari/537.36 Edg/91.0.864.48"
::1 - - [11/Jun/2022:03:25:58 +0000] "GET /api/v1/users/6266b15081428fe338d4f582 HTTP/1.0" 200 183 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::1 - - [11/Jun/2022:03:25:59 +0000] "GET /api/v1/tops HTTP/1.0" 200 4811 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::1 - - [11/Jun/2022:03:25:59 +0000] "GET /api/v1/odkos HTTP/1.0" 200 10198 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::ffff:127.0.0.1 - - [11/Jun/2022:03:25:59 +0000] "GET /api/v1/technos HTTP/1.0" 200 16321 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::1 - - [11/Jun/2022:03:25:59 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 200 19072 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::ffff:127.0.0.1 - - [11/Jun/2022:03:25:59 +0000] "GET /api/v1/bolors HTTP/1.0" 200 19139 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::ffff:127.0.0.1 - - [11/Jun/2022:03:25:59 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::ffff:127.0.0.1 - - [11/Jun/2022:03:25:59 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::ffff:127.0.0.1 - - [11/Jun/2022:03:25:59 +0000] "GET /api/v1/coins HTTP/1.0" 200 12866 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::ffff:127.0.0.1 - - [11/Jun/2022:03:25:59 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 200 19072 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::1 - - [11/Jun/2022:03:25:59 +0000] "GET /api/v1/baykas HTTP/1.0" 200 28804 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::1 - - [11/Jun/2022:03:25:59 +0000] "GET /api/v1/bolors HTTP/1.0" 200 19139 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::ffff:127.0.0.1 - - [11/Jun/2022:03:25:59 +0000] "GET /api/v1/odkos HTTP/1.0" 200 10198 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::ffff:127.0.0.1 - - [11/Jun/2022:03:25:59 +0000] "GET /api/v1/bataas HTTP/1.0" 200 17214 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::1 - - [11/Jun/2022:03:25:59 +0000] "GET /api/v1/deegiis HTTP/1.0" 200 15902 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::1 - - [11/Jun/2022:03:26:00 +0000] "GET /api/v1/works?select=createdAt&sort=-createdAt&limit=1 HTTP/1.0" 200 237 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::1 - - [11/Jun/2022:03:26:00 +0000] "GET /api/v1/headerBanners?limit=10 HTTP/1.0" 200 766 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::ffff:127.0.0.1 - - [11/Jun/2022:03:26:00 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 200 12003 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
