::ffff:127.0.0.1 - - [15/Jul/2022:00:02:58 +0000] "GET /.aws/credentials HTTP/1.0" 404 155 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::ffff:127.0.0.1 - admin [15/Jul/2022:00:44:45 +0000] "POST /mgmt/tm/util/bash HTTP/1.0" 404 157 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36"
::1 - - [15/Jul/2022:01:31:10 +0000] "GET /ab2g HTTP/1.0" 404 143 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:127.0.0.1 - - [15/Jul/2022:01:31:10 +0000] "GET /ab2h HTTP/1.0" 404 143 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:127.0.0.1 - - [15/Jul/2022:02:09:25 +0000] "GET /api/v1/users/undefined HTTP/1.0" 500 250 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [15/Jul/2022:02:09:25 +0000] "GET /api/v1/technos HTTP/1.0" 200 16321 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [15/Jul/2022:02:09:25 +0000] "GET /api/v1/tops HTTP/1.0" 200 4811 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [15/Jul/2022:02:09:25 +0000] "GET /api/v1/odkos HTTP/1.0" 200 10199 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [15/Jul/2022:02:09:25 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [15/Jul/2022:02:09:25 +0000] "GET /api/v1/bolors HTTP/1.0" 200 19139 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [15/Jul/2022:02:09:25 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 200 19072 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [15/Jul/2022:02:09:25 +0000] "GET /api/v1/coins HTTP/1.0" 200 12866 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [15/Jul/2022:02:09:25 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [15/Jul/2022:02:09:25 +0000] "GET /api/v1/baykas HTTP/1.0" 200 28804 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [15/Jul/2022:02:09:25 +0000] "GET /api/v1/bolors HTTP/1.0" 200 19139 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [15/Jul/2022:02:09:25 +0000] "GET /api/v1/bataas HTTP/1.0" 200 17214 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [15/Jul/2022:02:09:25 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 200 19072 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [15/Jul/2022:02:09:25 +0000] "GET /api/v1/deegiis HTTP/1.0" 200 15902 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [15/Jul/2022:02:09:26 +0000] "GET /api/v1/odkos HTTP/1.0" 200 10199 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [15/Jul/2022:02:09:26 +0000] "GET /api/v1/works?select=createdAt&sort=-createdAt&limit=1 HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [15/Jul/2022:02:09:26 +0000] "GET /api/v1/headerBanners?limit=10 HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [15/Jul/2022:02:09:26 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [15/Jul/2022:02:09:26 +0000] "GET /api/v1/magazines?limit=50 HTTP/1.0" 200 194113 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [15/Jul/2022:02:09:32 +0000] "GET /api/v1/ariunzayas/6242b7d61aaad439817a4c59 HTTP/1.0" 200 18993 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [15/Jul/2022:02:09:32 +0000] "GET /api/v1/users/undefined HTTP/1.0" 500 250 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [15/Jul/2022:02:13:16 +0000] "GET /owa/auth/logon.aspx?url=https%3a%2f%2f1%2fecp%2f HTTP/1.0" 404 158 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:127.0.0.1 - - [15/Jul/2022:03:11:27 +0000] "GET /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.0" 404 189 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::1 - - [15/Jul/2022:03:52:59 +0000] "GET /robots.txt HTTP/1.0" 404 149 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
