::ffff:127.0.0.1 - - [26/Aug/2022:01:31:50 +0000] "GET /robots.txt HTTP/1.0" 404 149 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:127.0.0.1 - - [26/Aug/2022:02:09:59 +0000] "GET /api/v1/users/62f99ff09cc5898e7f69849f HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1335.0.3 Darwin/21.6.0"
::1 - - [26/Aug/2022:02:09:59 +0000] "GET /api/v1/technos HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1335.0.3 Darwin/21.6.0"
::1 - - [26/Aug/2022:02:09:59 +0000] "GET /api/v1/tops HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1335.0.3 Darwin/21.6.0"
::ffff:127.0.0.1 - - [26/Aug/2022:02:09:59 +0000] "GET /api/v1/odkos HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1335.0.3 Darwin/21.6.0"
::ffff:127.0.0.1 - - [26/Aug/2022:02:09:59 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1335.0.3 Darwin/21.6.0"
::ffff:127.0.0.1 - - [26/Aug/2022:02:09:59 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "Career%20developer/1.0.9 CFNetwork/1335.0.3 Darwin/21.6.0"
::1 - - [26/Aug/2022:02:09:59 +0000] "GET /api/v1/bolors HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1335.0.3 Darwin/21.6.0"
::1 - - [26/Aug/2022:02:09:59 +0000] "GET /api/v1/coins HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1335.0.3 Darwin/21.6.0"
::ffff:127.0.0.1 - - [26/Aug/2022:02:09:59 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "Career%20developer/1.0.9 CFNetwork/1335.0.3 Darwin/21.6.0"
::ffff:127.0.0.1 - - [26/Aug/2022:02:10:00 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1335.0.3 Darwin/21.6.0"
::1 - - [26/Aug/2022:02:10:00 +0000] "GET /api/v1/baykas HTTP/1.0" 200 28804 "-" "Career%20developer/1.0.9 CFNetwork/1335.0.3 Darwin/21.6.0"
::1 - - [26/Aug/2022:02:10:00 +0000] "GET /api/v1/bolors HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1335.0.3 Darwin/21.6.0"
::1 - - [26/Aug/2022:02:10:00 +0000] "GET /api/v1/deegiis HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1335.0.3 Darwin/21.6.0"
::ffff:127.0.0.1 - - [26/Aug/2022:02:10:00 +0000] "GET /api/v1/bataas HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1335.0.3 Darwin/21.6.0"
::ffff:127.0.0.1 - - [26/Aug/2022:02:10:00 +0000] "GET /api/v1/odkos HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1335.0.3 Darwin/21.6.0"
::1 - - [26/Aug/2022:02:10:00 +0000] "GET /api/v1/works?select=createdAt&sort=-createdAt&limit=1 HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1335.0.3 Darwin/21.6.0"
::ffff:127.0.0.1 - - [26/Aug/2022:02:10:00 +0000] "GET /api/v1/headerBanners?limit=10 HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1335.0.3 Darwin/21.6.0"
::ffff:127.0.0.1 - - [26/Aug/2022:02:10:00 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1335.0.3 Darwin/21.6.0"
::1 - - [26/Aug/2022:02:10:00 +0000] "GET /api/v1/magazines?limit=50 HTTP/1.0" 200 194113 "-" "Career%20developer/1.0.9 CFNetwork/1335.0.3 Darwin/21.6.0"
::1 - - [26/Aug/2022:02:29:10 +0000] "GET /.env HTTP/1.0" 404 143 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::ffff:127.0.0.1 - - [26/Aug/2022:03:04:21 +0000] "GET /owa/auth/logon.aspx?url=https%3a%2f%2f1%2fecp%2f HTTP/1.0" 404 158 "-" "Mozilla/5.0 zgrab/0.x"
::1 - - [26/Aug/2022:03:05:36 +0000] "GET /remote/fgt_lang?lang=/../../../..//////////dev/cmdb/sslvpn_websession HTTP/1.0" 404 154 "-" "Python-urllib/3.8"
::ffff:127.0.0.1 - - [26/Aug/2022:03:05:55 +0000] "GET /owa/auth/logon.aspx HTTP/1.0" 404 158 "-" "Mozilla/5.0 zgrab/0.x"
::1 - - [26/Aug/2022:03:06:06 +0000] "GET /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application HTTP/1.0" 404 214 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:127.0.0.1 - - [26/Aug/2022:03:06:19 +0000] "GET /owa/auth/x.js HTTP/1.0" 404 152 "-" "Mozilla/5.0 zgrab/0.x"
::1 - - [26/Aug/2022:04:34:58 +0000] "GET /api/v1/users/undefined HTTP/1.0" 500 250 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [26/Aug/2022:04:34:58 +0000] "GET /api/v1/odkos HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [26/Aug/2022:04:34:58 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "okhttp/3.14.9"
::1 - - [26/Aug/2022:04:34:58 +0000] "GET /api/v1/bolors HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [26/Aug/2022:04:34:58 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [26/Aug/2022:04:34:58 +0000] "GET /api/v1/tops HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [26/Aug/2022:04:34:59 +0000] "GET /api/v1/technos HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [26/Aug/2022:04:34:59 +0000] "GET /api/v1/coins HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [26/Aug/2022:04:34:59 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "okhttp/3.14.9"
